Frequency [Hz],"Amp_0[dB] 
(P = 0.020 [mbar])","Amp_1[dB] 
(P = 0.020 [mbar])","Amp_2[dB] 
(P = 0.020 [mbar])"
2366000000.0,-80.0,-80.2,-79.9
2367000000.0,-80.0,-80.2,-80.2
2368000000.0,-80.2,-80.3,-80.3
2369000000.0,-80.1,-80.4,-80.4
2370000000.0,-80.5,-80.6,-80.4
2371000000.0,-80.6,-80.6,-80.7
2372000000.0,-80.7,-80.6,-80.8
2373000000.0,-80.7,-80.7,-80.8
2374000000.0,-80.8,-80.9,-81.1
2375000000.0,-81.2,-81.1,-80.9
2376000000.0,-81.1,-81.0,-81.2
2377000000.0,-81.3,-81.0,-81.4
2378000000.0,-81.4,-81.2,-81.3
2379000000.0,-81.2,-81.2,-81.0
2380000000.0,-81.3,-81.2,-81.2
2381000000.0,-81.3,-81.1,-81.4
2382000000.0,-81.1,-81.2,-81.2
2383000000.0,-81.3,-81.1,-81.0
2384000000.0,-80.9,-81.2,-81.2
2385000000.0,-81.1,-81.3,-81.2
2386000000.0,-81.1,-81.0,-81.1
2387000000.0,-80.9,-81.1,-81.2
2388000000.0,-81.2,-81.0,-81.1
2389000000.0,-80.8,-80.9,-80.9
2390000000.0,-80.9,-80.7,-81.1
2391000000.0,-80.8,-80.7,-80.6
2392000000.0,-80.6,-80.6,-80.5
2393000000.0,-80.5,-80.5,-80.4
2394000000.0,-80.2,-80.5,-80.4
2395000000.0,-80.0,-80.0,-80.2
2396000000.0,-80.0,-80.2,-79.9
2397000000.0,-79.7,-80.0,-79.9
2398000000.0,-79.7,-79.7,-79.6
2399000000.0,-79.5,-79.5,-79.6
2400000000.0,-79.1,-79.2,-79.2
2401000000.0,-79.1,-79.0,-79.0
2402000000.0,-78.8,-78.7,-78.8
2403000000.0,-78.5,-78.5,-78.5
2404000000.0,-78.4,-78.2,-78.4
2405000000.0,-78.2,-78.1,-78.2
2406000000.0,-77.9,-77.9,-77.9
2407000000.0,-77.7,-77.7,-77.9
2408000000.0,-77.7,-77.5,-78.2
2409000000.0,-77.4,-77.5,-77.9
2410000000.0,-77.2,-77.1,-78.5
2411000000.0,-76.9,-77.0,-77.1
2412000000.0,-76.6,-76.7,-76.0
2413000000.0,-76.6,-76.5,-76.5
2414000000.0,-76.5,-76.4,-76.4
2415000000.0,-76.4,-76.3,-76.5
2416000000.0,-76.1,-76.1,-76.3
2417000000.0,-76.0,-76.1,-76.1
2418000000.0,-75.9,-75.8,-76.4
2419000000.0,-75.9,-75.8,-77.3
2420000000.0,-75.7,-75.7,-75.9
2421000000.0,-75.8,-75.6,-75.6
2422000000.0,-75.8,-75.7,-75.6
2423000000.0,-75.6,-75.6,-76.1
2424000000.0,-75.5,-75.6,-75.7
2425000000.0,-75.7,-75.6,-75.9
2426000000.0,-75.7,-75.7,-75.7
2427000000.0,-76.0,-75.8,-75.9
2428000000.0,-75.8,-75.9,-75.9
2429000000.0,-75.8,-75.8,-76.0
2430000000.0,-75.9,-76.1,-75.9
2431000000.0,-76.0,-76.0,-76.0
2432000000.0,-76.2,-76.1,-76.1
2433000000.0,-76.3,-76.4,-76.4
2434000000.0,-76.5,-76.4,-76.4
2435000000.0,-76.4,-76.6,-76.7
2436000000.0,-76.7,-76.7,-76.5
2437000000.0,-76.8,-76.8,-76.8
2438000000.0,-76.9,-77.1,-77.0
2439000000.0,-77.3,-77.2,-77.1
2440000000.0,-77.4,-77.3,-77.3
2441000000.0,-77.4,-77.5,-77.6
2442000000.0,-77.6,-77.7,-77.8
2443000000.0,-78.0,-77.7,-78.0
2444000000.0,-78.0,-78.1,-78.1
2445000000.0,-78.1,-78.2,-78.3
2446000000.0,-78.3,-78.3,-78.6
2447000000.0,-78.6,-78.5,-78.5
2448000000.0,-78.8,-78.6,-78.8
2449000000.0,-78.8,-78.8,-78.9
2450000000.0,-78.9,-79.0,-78.9
2451000000.0,-79.2,-79.0,-79.1
2452000000.0,-79.3,-79.3,-79.3
2453000000.0,-79.2,-79.4,-79.3
2454000000.0,-79.6,-79.4,-79.4
2455000000.0,-79.4,-79.5,-79.6
2456000000.0,-79.8,-79.6,-79.5
2457000000.0,-79.7,-79.5,-79.6
2458000000.0,-79.6,-79.8,-79.6
2459000000.0,-79.8,-79.7,-79.7
2460000000.0,-79.9,-79.7,-79.6
