amplitude,frequency
-102.9,3516500000
-103.0,3517500000
-103.0,3518500000
-102.9,3519500000
-102.9,3520500000
-102.9,3521500000
-103.2,3266500000
-103.2,3267500000
-103.3,3268500000
-103.3,3269500000
-103.0,3270500000
-103.2,3271500000
-103.2,3272500000
-102.8,3273500000
-103.1,3274500000
-103.1,3275500000
-103.0,3276500000
-103.1,3277500000
-103.1,3278500000
-102.8,3279500000
-102.4,3280500000
-102.4,3281500000
-102.8,3282500000
-102.8,3283500000
-103.2,3284500000
-103.2,3285500000
-103.5,3286500000
-103.5,3287500000
-103.5,3288500000
-103.5,3289500000
-103.0,3290500000
-103.1,3291500000
-103.1,3292500000
-102.9,3293500000
-103.1,3294500000
-103.1,3295500000
-102.8,3296500000
-102.5,3297500000
-103.2,3298500000
-103.4,3299500000
-103.4,3300500000
-103.2,3301500000
-102.6,3302500000
-102.8,3303500000
-103.1,3304500000
-103.1,3305500000
-103.1,3306500000
-103.3,3307500000
-103.3,3308500000
-103.0,3309500000
-102.9,3310500000
-103.2,3311500000
-103.2,3312500000
-102.9,3313500000
-102.6,3314500000
-103.0,3315500000
-103.0,3316500000
-103.2,3317500000
-103.4,3318500000
-103.4,3319500000
-103.5,3320500000
-103.5,3321500000
-102.7,3322500000
-103.5,3323500000
-103.5,3324500000
-103.4,3325500000
-103.2,3326500000
-103.2,3327500000
-102.8,3328500000
-103.2,3329500000
-103.2,3330500000
-103.0,3331500000
-102.7,3332500000
-103.4,3333500000
-103.4,3334500000
-102.9,3335500000
-102.9,3336500000
-102.7,3337500000
-103.4,3338500000
-103.4,3339500000
-102.7,3340500000
-102.7,3341500000
-102.9,3342500000
-103.3,3343500000
-103.3,3344500000
-103.2,3345500000
-103.2,3346500000
-102.6,3347500000
-102.7,3348500000
-103.4,3349500000
-103.4,3350500000
-102.7,3351500000
-103.5,3352500000
-103.5,3353500000
-102.7,3354500000
-103.0,3355500000
-103.0,3356500000
-102.8,3357500000
-102.8,3358500000
-103.2,3359500000
-103.3,3360500000
-103.3,3361500000
-102.9,3362500000
-103.0,3363500000
-103.0,3364500000
-103.2,3365500000
-103.2,3366500000
-103.3,3367500000
-103.3,3368500000
-103.4,3369500000
-103.4,3370500000
-103.4,3371500000
-103.4,3372500000
-103.1,3373500000
-103.3,3374500000
-103.3,3375500000
-103.4,3376500000
-103.4,3377500000
-103.2,3378500000
-103.2,3379500000
-102.9,3380500000
-103.2,3381500000
-103.2,3382500000
-103.1,3383500000
-103.1,3384500000
-103.3,3385500000
-103.3,3386500000
-103.5,3387500000
-103.5,3388500000
-103.3,3389500000
-103.0,3390500000
